2018-05-10 15:26:49 INFO [restartedMain]  - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@74ada42e: startup date [Thu May 10 15:26:49 CST 2018]; root of context hierarchy
2018-05-10 15:26:51 INFO [restartedMain]  - Overriding bean definition for bean 'dataSource' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.jdbc.DataSourceConfiguration$Generic; factoryMethodName=dataSource; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/jdbc/DataSourceConfiguration$Generic.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.jdbc.DataSourceConfiguration$Hikari; factoryMethodName=dataSource; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/jdbc/DataSourceConfiguration$Hikari.class]]
2018-05-10 15:26:53 INFO [restartedMain]  - HikariPool-1 - Starting...
2018-05-10 15:26:53 INFO [restartedMain]  - HikariPool-1 - Start completed.
2018-05-10 15:27:00 INFO [restartedMain]  - started container: DefaultRocketMQListenerContainer{consumerGroup='PLC_20', nameServer='39.108.106.70:9876', topic='PLC_20', consumeMode=CONCURRENTLY, selectorType=TAG, selectorExpress='*', messageModel=CLUSTERING}
2018-05-10 15:27:00 INFO [restartedMain]  - register rocketMQ listener to container, listenerBeanName:factleachConsumer, containerBeanName:com.github.cnbzzz.spring.boot.starter.rocketmq.core.DefaultRocketMQListenerContainer_1
2018-05-10 15:27:00 INFO [restartedMain]  - started container: DefaultRocketMQListenerContainer{consumerGroup='PLC_23', nameServer='39.108.106.70:9876', topic='PLC_23', consumeMode=CONCURRENTLY, selectorType=TAG, selectorExpress='*', messageModel=CLUSTERING}
2018-05-10 15:27:00 INFO [restartedMain]  - register rocketMQ listener to container, listenerBeanName:factleachSysaConsumer, containerBeanName:com.github.cnbzzz.spring.boot.starter.rocketmq.core.DefaultRocketMQListenerContainer_2
2018-05-10 15:27:00 INFO [restartedMain]  - started container: DefaultRocketMQListenerContainer{consumerGroup='PLC_24', nameServer='39.108.106.70:9876', topic='PLC_24', consumeMode=CONCURRENTLY, selectorType=TAG, selectorExpress='*', messageModel=CLUSTERING}
2018-05-10 15:27:00 INFO [restartedMain]  - register rocketMQ listener to container, listenerBeanName:factleachSysbConsumer, containerBeanName:com.github.cnbzzz.spring.boot.starter.rocketmq.core.DefaultRocketMQListenerContainer_3
2018-05-10 15:27:00 INFO [restartedMain]  - started container: DefaultRocketMQListenerContainer{consumerGroup='PLC_22', nameServer='39.108.106.70:9876', topic='PLC_22', consumeMode=CONCURRENTLY, selectorType=TAG, selectorExpress='*', messageModel=CLUSTERING}
2018-05-10 15:27:00 INFO [restartedMain]  - register rocketMQ listener to container, listenerBeanName:factleachSyspConsumer, containerBeanName:com.github.cnbzzz.spring.boot.starter.rocketmq.core.DefaultRocketMQListenerContainer_4
2018-05-10 15:27:00 INFO [restartedMain]  - started container: DefaultRocketMQListenerContainer{consumerGroup='PLC_30', nameServer='39.108.106.70:9876', topic='PLC_30', consumeMode=CONCURRENTLY, selectorType=TAG, selectorExpress='*', messageModel=CLUSTERING}
2018-05-10 15:27:00 INFO [restartedMain]  - register rocketMQ listener to container, listenerBeanName:factSewaConsumer, containerBeanName:com.github.cnbzzz.spring.boot.starter.rocketmq.core.DefaultRocketMQListenerContainer_5
2018-05-10 15:27:00 INFO [restartedMain]  - started container: DefaultRocketMQListenerContainer{consumerGroup='0x19', nameServer='39.108.106.70:9876', topic='0x19', consumeMode=CONCURRENTLY, selectorType=TAG, selectorExpress='*', messageModel=CLUSTERING}
2018-05-10 15:27:00 INFO [restartedMain]  - register rocketMQ listener to container, listenerBeanName:getwayLoginConsumer, containerBeanName:com.github.cnbzzz.spring.boot.starter.rocketmq.core.DefaultRocketMQListenerContainer_6
2018-05-10 15:27:01 INFO [restartedMain]  - started container: DefaultRocketMQListenerContainer{consumerGroup='PLC_10', nameServer='39.108.106.70:9876', topic='PLC_10', consumeMode=CONCURRENTLY, selectorType=TAG, selectorExpress='*', messageModel=CLUSTERING}
2018-05-10 15:27:01 INFO [restartedMain]  - register rocketMQ listener to container, listenerBeanName:gpsSewaConsumer, containerBeanName:com.github.cnbzzz.spring.boot.starter.rocketmq.core.DefaultRocketMQListenerContainer_7
2018-05-10 15:27:01 INFO [restartedMain]  - LiveReload server is running on port 35729
2018-05-10 15:27:01 INFO [restartedMain]  - Registering beans for JMX exposure on startup
2018-05-10 15:27:01 INFO [restartedMain]  - Bean with name 'dataSource' has been autodetected for JMX exposure
2018-05-10 15:27:01 INFO [restartedMain]  - Located MBean 'dataSource': registering with JMX server as MBean [com.zaxxer.hikari:name=dataSource,type=HikariDataSource]
2018-05-10 17:41:09 INFO [restartedMain]  - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@22ff4272: startup date [Thu May 10 17:41:09 CST 2018]; root of context hierarchy
2018-05-10 17:41:10 INFO [restartedMain]  - Overriding bean definition for bean 'dataSource' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.jdbc.DataSourceConfiguration$Generic; factoryMethodName=dataSource; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/jdbc/DataSourceConfiguration$Generic.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.jdbc.DataSourceConfiguration$Hikari; factoryMethodName=dataSource; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/jdbc/DataSourceConfiguration$Hikari.class]]
2018-05-10 17:41:11 INFO [restartedMain]  - HikariPool-1 - Starting...
2018-05-10 17:41:12 INFO [restartedMain]  - HikariPool-1 - Start completed.
2018-05-10 17:41:18 INFO [restartedMain]  - started container: DefaultRocketMQListenerContainer{consumerGroup='PLC_20', nameServer='39.108.106.70:9876', topic='PLC_20', consumeMode=CONCURRENTLY, selectorType=TAG, selectorExpress='*', messageModel=CLUSTERING}
2018-05-10 17:41:18 INFO [restartedMain]  - register rocketMQ listener to container, listenerBeanName:factleachConsumer, containerBeanName:com.github.cnbzzz.spring.boot.starter.rocketmq.core.DefaultRocketMQListenerContainer_1
2018-05-10 17:41:18 INFO [restartedMain]  - started container: DefaultRocketMQListenerContainer{consumerGroup='PLC_23', nameServer='39.108.106.70:9876', topic='PLC_23', consumeMode=CONCURRENTLY, selectorType=TAG, selectorExpress='*', messageModel=CLUSTERING}
2018-05-10 17:41:18 INFO [restartedMain]  - register rocketMQ listener to container, listenerBeanName:factleachSysaConsumer, containerBeanName:com.github.cnbzzz.spring.boot.starter.rocketmq.core.DefaultRocketMQListenerContainer_2
2018-05-10 17:41:18 INFO [restartedMain]  - started container: DefaultRocketMQListenerContainer{consumerGroup='PLC_24', nameServer='39.108.106.70:9876', topic='PLC_24', consumeMode=CONCURRENTLY, selectorType=TAG, selectorExpress='*', messageModel=CLUSTERING}
2018-05-10 17:41:18 INFO [restartedMain]  - register rocketMQ listener to container, listenerBeanName:factleachSysbConsumer, containerBeanName:com.github.cnbzzz.spring.boot.starter.rocketmq.core.DefaultRocketMQListenerContainer_3
2018-05-10 17:41:18 INFO [restartedMain]  - started container: DefaultRocketMQListenerContainer{consumerGroup='PLC_22', nameServer='39.108.106.70:9876', topic='PLC_22', consumeMode=CONCURRENTLY, selectorType=TAG, selectorExpress='*', messageModel=CLUSTERING}
2018-05-10 17:41:18 INFO [restartedMain]  - register rocketMQ listener to container, listenerBeanName:factleachSyspConsumer, containerBeanName:com.github.cnbzzz.spring.boot.starter.rocketmq.core.DefaultRocketMQListenerContainer_4
2018-05-10 17:41:18 INFO [restartedMain]  - started container: DefaultRocketMQListenerContainer{consumerGroup='PLC_30', nameServer='39.108.106.70:9876', topic='PLC_30', consumeMode=CONCURRENTLY, selectorType=TAG, selectorExpress='*', messageModel=CLUSTERING}
